1991,Heat Wave,Hideo Gosha [五社 英雄],Kōji Takada [高田 宏治],"Kanako Higuchi [樋口 可南子], Tatsuya Nakadai [仲代 達矢]",0,陽炎,0,NULL
1998,Lick the Star,Sofia Coppola,"Stephanie Hayman, Sofia Coppola",Christina Turley,0,NULL,1,NULL
2000,Dancer in the Dark,Lars von Trier,Lars von Trier,"Björk, Catherine Deneuve",0,NULL,0,NULL
1967,La collectionneuse,Éric Rohmer,"Patrick Bauchau, Haydée Politoff, Daniel Pommereulle, Éric Rohmer","Patrick Bauchau, Haydée Politoff",0,NULL,0,NULL
1959,Hiroshima mon amour,Alain Resnais,Marguerite Duras,"Emmanuelle Riva, Eiji Okada [岡田 英次]",0,NULL,0,NULL
1965,Pleasures of the Flesh,Nagisa Ōshima [大島 渚],"Nagisa Ōshima [大島 渚], Fūtarō Yamada [山田 風太郎] ","Katsuo Nakamura [中村 嘉葎雄], Mariko Kaga [加賀 まりこ]",0,悦楽,0,NULL
1972,The Discreet Charm of the Bourgeoisie,Luis Buñuel,"Luis Buñuel, Jean-Claude Carrière","Fernando Rey, Bulle Ogier, Milena Vukotic",0,Le charme discret de la bourgeoisie,1,Cooper Black Italic
1980,A Week’s Vacation,Bertrand Tavernier,"Marie-Françoise Hans, Bertrand Tavernier, Colo Tavernier","Nathalie Baye, Flore Fitzgerald",0,Une semaine de vacances,0,Windsor UltraHeavy
1984,A Sunday in the Country,Bertrand Tavernier,"Pierre Bost (novel), Bertrand Tavernier, Colo Tavernier","Sabine Azéma, Michel Aumont",0,Un dimanche à la campagne,0,Bookman Demi Bold Italic
1980,Every Man for Himself,Jean-Luc Godard,"Anne-Marie Miéville, Jean-Claude Carrière","Isabelle Huppert, Jacques Dutronc, Nathalie Baye",0,Sauve qui peut (la vie),0,NULL
1986,Betty Blue,Jean-Jacques Beineix,"Philippe Djian (novel), Jean-Jacques Beineix","Jean-Hugues Anglade, Béatrice Dalle",0,37°2 le matin,0,Optima
1988,Jane B. par Agnès V.,Agnès Varda,Agnès Varda,Jane Birkin,0,NULL,0,ITC Benguiat Condensed Medium
1966,Blow-Up,Michelangelo Antonioni,"Michelangelo Antonioni (story), Julio Cortázar (story), Tonino Guerra, Edward Bond","David Hemmings, Vanessa Redgrave",0,NULL,0,NULL
1994,Barcelona,Whit Stillman,Whit Stillman,"Taylor Nichols, Chris Eigeman, Tushka Bergen",0,NULL,0,"Arnold Boecklin, Centaur"
1998,The Last Days of Disco,Whit Stillman,Whit Stillman,"Chloë Sevigny, Kate Beckinsale, Chris Eigeman, Mackenzie Astin",0,NULL,0,Sackers Gothic
1995,Kicking and Screaming,Noah Baumbach,"Noah Baumbach (story), Bo Berkman (story)","Josh Hamilton, Chris Eigeman",0,NULL,0,NULL
1965,Alphaville,Jean-Luc Godard,"Jean-Luc Godard, Paul Éluard (poem)","Eddie Constantine, Anna Karina",0,"Alphaville, une étrange aventure de Lemmy Caution",0,NULL
1961,A Woman Is a Woman,Jean-Luc Godard,"Geneviève Cluny, Jean-Luc Godard","Jean-Claude Brialy, Anna Karina",0,Une femme est une femme,0,NULL
1994,Cold Water,Olivier Assayas,Olivier Assayas,"Virginie Ledoyen, Cyprien Fouquet",0,L’eau froide,0,Dom Casual
1989,"Sex, Lies, and Videotape",Steven Soderbergh,Steven Soderbergh,"James Spader, Andie MacDowell, Laura San Giacomo",0,NULL,0,NULL
1991,Night on Earth,Jim Jarmusch,Jim Jarmusch,"Winona Ryder, Giancarlo Esposito, Béatrice Dalle, Roberto Benigni, Matti Pellonpää",0,NULL,0,Elektrix (modified)
1984,Streetwise,Martin Bell,Cheryl McCall,NULL,0,NULL,0,NULL
1984,Blood Simple,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","John Getz, Frances McDormand",0,NULL,0,Goudy Oldstyle ExtraBold
2001,Y tu mamá también,Alfonso Cuarón,"Carlos Cuarón, Alfonso Cuarón","Ana López Mercado, Diego Luna, Gael García Bernal",0,NULL,0,Swiss 911 Std Extra Compressed
1983,Sans soleil,Chris Marker,Chris Marker,NULL,0,NULL,0,Annlie Extra Bold
1986,The Terrorizers,Edward Yang [楊德昌],"Hsiao-Yeh [小野], Edward Yang [楊德昌]","Cora Miao [繆騫人], Li-Chun Lee",0,NULL,0,NULL
1962,Antoine et Colette,François Truffaut,François Truffaut,"Jean-Pierre Léaud, Marie-France Pisier",0,NULL,1,NULL
2000,O Fantasma,João Pedro Rodrigues,"João Pedro Rodrigues, José Neves, Paulo Rebelo, Alexandre Melo","Ricardo Meneses, Beatriz Torcato",0,NULL,0,NULL
1987,The Dead Tree,Joseph Morder,"Philippe Fano, Joseph Morder, Marie Serrurier","Philippe Fano, Marie Serrurier, Rosette",0,L’arbre mort,0,Century Bold
